epoch,loss,softmax1_accuracy,softmax1_loss,softmax2_accuracy,softmax2_loss,softmax3_accuracy,softmax3_loss
24,0.4800010389751858,0.9361111,0.1669656,0.9125,0.2474611,0.9791667,0.06311259
25,0.446131960550944,0.9388889,0.15793636,0.91805553,0.21913628,0.9736111,0.06874342
26,0.4078455064031813,0.93333334,0.14837371,0.9291667,0.19010745,0.9791667,0.07247164
27,0.43193984362814164,0.92638886,0.16915756,0.93333334,0.2055643,0.9847222,0.05502665
28,0.4167139020231035,0.94722223,0.13507323,0.91944444,0.20587175,0.9722222,0.07316248
29,0.41454313397407533,0.9458333,0.16690569,0.9236111,0.18413089,0.98055553,0.058816787
30,0.3764244145817227,0.94027776,0.1375052,0.9305556,0.1956545,0.9861111,0.04158469
31,0.3729925923877292,0.94166666,0.14546213,0.93194443,0.18141773,0.9847222,0.045155097
32,0.3595014105240504,0.9444444,0.1358606,0.9305556,0.17684233,0.98888886,0.042164575
33,0.30533194012112086,0.9513889,0.12509729,0.9444444,0.14268062,0.9861111,0.03829368
34,0.2670677059226566,0.95416665,0.11396317,0.95416665,0.12257786,0.9875,0.036678225
35,0.2381452739238739,0.9597222,0.10063501,0.95694447,0.11836577,0.9986111,0.019805694
36,0.27712098128265805,0.94861114,0.12768948,0.9527778,0.12007706,0.99027777,0.031161375
37,0.2260351303550932,0.95555556,0.10065795,0.9597222,0.109908246,0.9930556,0.021143021
38,0.2480827702416314,0.9527778,0.10603451,0.9597222,0.108567946,0.9875,0.035423595
39,0.2236930426624086,0.9597222,0.10048016,0.96805555,0.092682354,0.98888886,0.03043258
40,0.24583918352921805,0.9597222,0.08797399,0.9527778,0.116470024,0.98888886,0.038046826
41,0.2629868792163001,0.95416665,0.1018503,0.94861114,0.1366674,0.9916667,0.027235143
42,0.1786845645142926,0.9722222,0.077935,0.9777778,0.07895271,0.9930556,0.018855615
43,0.19386836522155337,0.9722222,0.06885847,0.9583333,0.11253728,0.9986111,0.016335454
44,0.2347368727127711,0.97083336,0.08101665,0.9527778,0.12954342,0.99444443,0.022602309
45,0.16451817341148853,0.98194444,0.06338291,0.96944445,0.08239706,0.99583334,0.015828598
46,0.17292246917883555,0.9763889,0.057241965,0.97083336,0.091755316,0.9916667,0.02453671
47,0.17975685050090154,0.98194444,0.054944664,0.9583333,0.104820915,0.99027777,0.022887217
48,0.1500008131066958,0.9722222,0.0653083,0.98194444,0.06693152,0.9916667,0.020146862
49,0.13573528760009343,0.9722222,0.078327514,0.99027777,0.04020699,0.99444443,0.016797408
50,0.14839718855089612,0.9736111,0.06488842,0.9722222,0.06171825,0.9930556,0.019838132
51,0.1338439264231258,0.9736111,0.063446335,0.98055553,0.05459683,0.99444443,0.015780885
52,0.18176283389329911,0.96944445,0.07281209,0.96805555,0.092645854,0.99583334,0.014973951
53,0.11070703135596381,0.98055553,0.05490618,0.9875,0.039720144,0.99583334,0.014156252
54,0.08768686370717155,0.98333335,0.04616846,0.99444443,0.033603262,0.9986111,0.007175712
55,0.09063181926806768,0.9777778,0.0520688,0.9916667,0.0330998,1.0,0.0056599895
56,0.13002128137482538,0.98055553,0.053549804,0.9763889,0.065342635,0.99444443,0.010833196
57,0.12219306594795651,0.98333335,0.049395107,0.9777778,0.072495945,1.0,0.0052350475
58,0.15120110933979353,0.9791667,0.06478354,0.975,0.070889056,0.99583334,0.014011005
59,0.1253539072142707,0.98055553,0.050009064,0.9763889,0.06404714,0.99583334,0.013503619
60,0.09666680610842175,0.98333335,0.045235727,0.9875,0.037775133,0.99583334,0.012479251
61,0.11763581501113043,0.975,0.049876142,0.9791667,0.05584068,0.99722224,0.010557724
62,0.1337293471313185,0.98333335,0.038257144,0.96666664,0.08400984,1.0,0.009020656
63,0.1291433696117666,0.9736111,0.056131035,0.98055553,0.052004073,0.9916667,0.021053892
64,0.15212934464216232,0.9777778,0.061504956,0.975,0.063712485,0.9930556,0.024464846
65,0.09813215947813458,0.9763889,0.06036365,0.99583334,0.030368615,0.9986111,0.0065214466
66,0.06668413215213352,0.99027777,0.035668302,0.9930556,0.02438024,0.9986111,0.0077529396
67,0.06689825099375513,0.98888886,0.031627983,0.9875,0.02699477,0.99583334,0.009295305
68,0.10878905813313193,0.98194444,0.043535605,0.9861111,0.04309186,0.99027777,0.019992465
69,0.1451365088423093,0.98055553,0.06277262,0.98194444,0.07430826,0.9986111,0.013685219
70,0.1979752934641308,0.9625,0.10543214,0.98194444,0.06119692,0.9861111,0.033197083
71,0.1072648232181867,0.9861111,0.04503683,0.98333335,0.04900477,0.99583334,0.016002374
72,0.09125640226735009,0.9861111,0.034922577,0.9847222,0.041040424,0.99722224,0.0145934215
73,0.071806292856733,0.9875,0.03543136,0.9930556,0.024144756,0.99444443,0.011110975
74,0.06154568232595921,0.98055553,0.03963113,0.99444443,0.018032042,1.0,0.0033451975
75,0.0576671388414171,0.9916667,0.030923037,0.99722224,0.016458066,0.9986111,0.009663589
76,0.1317712994085418,0.9722222,0.06944362,0.98888886,0.042761963,0.9875,0.026479978
77,0.2766053236193127,0.95694447,0.12787081,0.9652778,0.092030585,0.9791667,0.053081237
78,0.1555329100953208,0.98055553,0.05617595,0.97083336,0.08223827,0.99583334,0.015389936
79,0.08038351361950238,0.9861111,0.038924284,0.9916667,0.028097749,0.99583334,0.011793387
80,0.08273174853788481,0.9875,0.044078592,0.98888886,0.035448816,1.0,0.0032597543
81,0.06072189493311776,0.98888886,0.026663423,0.99027777,0.025427943,0.99722224,0.0082219485
82,0.06491560850085484,0.99027777,0.02680358,0.9875,0.027508311,0.99722224,0.009596208
83,0.0484765004987518,0.9916667,0.02171454,0.9916667,0.018687675,0.99722224,0.0071236757
84,0.036557805227736634,0.99722224,0.013183267,0.9930556,0.017607708,0.99722224,0.0066729533
85,0.03590321025500695,0.99583334,0.016333917,0.99722224,0.010852975,0.99583334,0.008467526
86,0.07893246863451268,0.9916667,0.022746127,0.9847222,0.051301595,0.99722224,0.0038263216
87,0.05016719557137953,0.99444443,0.01845369,0.98888886,0.02797728,1.0,0.0027419112
88,0.09326849372850524,0.99027777,0.031168917,0.98194444,0.074081615,1.0,0.002380454
89,0.14962383608023325,0.9847222,0.039137274,0.96666664,0.09865556,0.9986111,0.009016217
90,0.06706845632029904,0.9861111,0.036169663,0.9930556,0.028708776,1.0,0.0019296192
91,0.034081580583006144,0.99444443,0.018234132,0.99583334,0.012464504,0.9986111,0.0028029496
92,0.031483687688079146,0.9930556,0.016713116,0.99722224,0.012389759,1.0,0.0018609294
93,0.056337044077614945,0.9875,0.03658995,0.99583334,0.016160533,0.9986111,0.0026123181
94,0.0693737704720762,0.99027777,0.025953228,0.9875,0.030530274,0.99444443,0.012061878
95,0.043481955056389174,0.9916667,0.02247835,0.99583334,0.014791685,0.99722224,0.005357539
96,0.035996727562612955,0.9875,0.02125234,0.9986111,0.010511919,0.99722224,0.0040481836
97,0.03485539563828045,0.9875,0.023718027,0.99722224,0.008123771,1.0,0.0026623025
98,0.019627866459389527,1.0,0.009398762,0.99722224,0.009673698,1.0,0.001801049
99,0.04160688506025407,0.99583334,0.019395458,0.9916667,0.020308299,0.9986111,0.0034116067
100,0.032658455872701275,0.99444443,0.01595557,0.9986111,0.0084865885,0.9986111,0.007714823
101,0.07135552463846075,0.98888886,0.028446484,0.9916667,0.021108748,0.9916667,0.020710135
102,0.06347355549741122,0.9930556,0.018744832,0.98333335,0.036173224,0.99583334,0.009873328
103,0.3623354744580057,0.9861111,0.04375506,0.9444444,0.19510804,0.9722222,0.118297026
104,0.1271527453429169,0.9916667,0.03223177,0.9777778,0.06233166,0.9930556,0.030545352
105,0.07179928620656331,0.9916667,0.023885416,0.9847222,0.04302165,0.9986111,0.0057105077
106,0.04581981199896998,0.99444443,0.016820787,0.98888886,0.024934782,1.0,0.0033433435
107,0.03658487005159259,0.99583334,0.01811794,0.9930556,0.018296719,0.9986111,0.0029871233
108,0.0307481499388814,0.99444443,0.018684028,0.99722224,0.0105416095,1.0,0.0022612691
109,0.02683566709359487,0.9986111,0.010296479,0.99722224,0.012046519,1.0,0.0039824117
110,0.024315707840853268,0.99583334,0.012563934,0.99722224,0.010406803,1.0,0.0012096772
111,0.012039075284782383,1.0,0.007127975,1.0,0.0030067514,1.0,0.0016795537
112,0.015321015861506264,1.0,0.0039546513,0.99583334,0.009490492,1.0,0.0016309469
113,0.02965830894601014,0.99444443,0.0146703,0.99583334,0.013805594,1.0,0.0007555733
114,0.03633326803230577,0.99444443,0.015197002,0.9916667,0.019909332,1.0,0.00062080624
115,0.02247162332965268,0.99583334,0.013553957,0.9986111,0.0076150657,1.0,0.0009420259
116,0.015372601218728556,0.9986111,0.008846612,1.0,0.0037910745,0.9986111,0.0025408342
117,0.009603515639901162,0.9986111,0.004695052,1.0,0.003976063,1.0,0.0011008537
118,0.018032001354731618,0.99583334,0.009566611,0.99722224,0.007670456,1.0,0.00041021188
119,0.031150751343617836,0.99583334,0.012834979,0.99444443,0.0148718385,1.0,0.0028120112
120,0.057346095866523686,0.9875,0.042865813,0.99583334,0.017816043,1.0,0.0011365864
121,0.05593365646070904,0.9875,0.030722022,0.9930556,0.019842096,0.9986111,0.005714488
122,0.0403143886787196,0.98888886,0.029379394,0.9986111,0.007856308,1.0,0.0027022585
123,0.05197736488448249,0.9930556,0.01949274,0.99027777,0.030266173,1.0,0.0017477402
124,0.02878024007400705,0.99722224,0.012544559,0.99583334,0.013375081,1.0,0.0023024122
125,0.024980567012810043,0.9930556,0.015539265,0.99722224,0.007750466,1.0,0.0014323017
126,0.016834929906245737,0.9986111,0.0089182295,0.9986111,0.006507063,1.0,0.0011183855
127,0.0133958933254083,0.99722224,0.008746383,1.0,0.0038543674,1.0,0.0009810325
128,0.007656282132181029,1.0,0.0036746205,1.0,0.002949487,1.0,0.00088108296
129,0.02946897066819171,0.99722224,0.010722068,0.99444443,0.017016664,1.0,0.0018152617
130,0.024468740148262846,0.9986111,0.0072226524,0.99583334,0.011348474,0.9986111,0.006299612
131,0.03248823442910281,0.99444443,0.017417774,0.99722224,0.012616319,1.0,0.0018073282
132,0.039163540810760525,0.99583334,0.019571638,0.9930556,0.019443752,1.0,0.0016478075
133,0.03668973783755468,0.9916667,0.016869219,0.99444443,0.01651593,0.9986111,0.0027145932
134,0.04367837029664467,0.9930556,0.02444417,0.9930556,0.017750142,1.0,0.0009825357
135,0.018286914497406947,0.99722224,0.008626666,1.0,0.0069330484,1.0,0.0023678646
136,0.013442593595633904,0.99722224,0.008109981,0.9986111,0.003549872,1.0,0.0017698462
137,0.011966455683836506,1.0,0.0033908733,0.99583334,0.0076752556,1.0,0.0006822585
138,0.023147109795051315,1.0,0.004396376,0.9930556,0.01789665,1.0,0.00043249474
139,0.026736639701347382,0.99722224,0.008786456,0.9930556,0.01591656,1.0,0.0014668413
140,0.016482009721868154,0.9986111,0.0063538,0.9986111,0.005180962,0.9986111,0.004608339
141,0.016476831197117767,0.99583334,0.016320542,1.0,0.0018861812,1.0,0.0010734396
142,0.024599929078896014,0.9930556,0.0176188,0.9986111,0.0043246453,1.0,0.0026371374
143,0.025134033914138047,0.99583334,0.01713444,0.9986111,0.01014015,1.0,0.0005439327
144,0.029018328059464693,0.9986111,0.00738151,0.99583334,0.0245252,0.9986111,0.0040039676
145,0.04143506058802207,0.9916667,0.018275717,0.99444443,0.019514702,0.9986111,0.0029532895
146,0.0199348639877927,0.9986111,0.008374028,0.9986111,0.008612791,1.0,0.0027956606
147,0.01578337620012462,1.0,0.0052343085,0.99583334,0.007040165,0.9986111,0.0032222394
148,0.019639565619743532,1.0,0.0046212347,0.99722224,0.014217255,1.0,0.0012794613
149,0.011362432481514083,0.9986111,0.0054341056,0.99722224,0.005042382,1.0,0.001260122
