epoch,loss,softmax1_accuracy,softmax1_loss,softmax2_accuracy,softmax2_loss,softmax3_accuracy,softmax3_loss,val_loss,val_softmax1_accuracy,val_softmax1_loss,val_softmax2_accuracy,val_softmax2_loss,val_softmax3_accuracy,val_softmax3_loss
0,2.3389820951695652,0.75220096,0.65941447,0.5843891,1.0682454,0.74747694,0.6144212,13.371140253678227,0.6479871273040771,3.7994225025177,0.09468598663806915,8.22760009765625,0.8386473655700684,1.4213221073150635
1,0.9396258735185737,0.89789563,0.27477744,0.80824566,0.49877474,0.9464247,0.17291848,14.944549029192103,0.6479871273040771,6.600533485412598,0.1020933985710144,6.489689826965332,0.8386473655700684,1.9199702739715576
2,0.5686828976463857,0.9384797,0.1798032,0.8806098,0.31205592,0.97552073,0.086948946,6.1248024191737365,0.28985506296157837,2.9941518306732178,0.5227053165435791,2.330538034439087,0.8351046442985535,0.7436123490333557
3,0.390177946887304,0.9595233,0.13401933,0.9224823,0.22052786,0.9826068,0.05692627,1.267399913046191,0.8689211010932922,0.3602776825428009,0.7542673349380493,0.7518236041069031,0.9549114108085632,0.1439019739627838
4,0.28116362304013764,0.9713335,0.08415484,0.9449216,0.15932126,0.9893708,0.038229544,0.15191593782529356,0.9874396324157715,0.04728350043296814,0.967793881893158,0.09537573903799057,0.9977455735206604,0.013063068501651287
5,0.21568235169415415,0.98056686,0.061163425,0.9543698,0.1320422,0.9916255,0.029016053,0.12450687481201406,0.9874396324157715,0.03845807537436485,0.9716585874557495,0.07767492532730103,0.997423529624939,0.010760115459561348
6,0.1627170436751415,0.9857204,0.046875052,0.9710114,0.095171854,0.99420226,0.021817567,0.10209704314069087,0.9896940588951111,0.03528251871466637,0.9764895439147949,0.0633881464600563,0.998389720916748,0.006875519175082445
7,0.12672763832500622,0.9901224,0.03549232,0.97756064,0.07594211,0.99430966,0.02101621,0.09177985917926794,0.9893719553947449,0.025371406227350235,0.9780998229980469,0.05969497188925743,0.9990338087081909,0.0062952060252428055
8,0.0965476600856824,0.99033713,0.033943366,0.9848615,0.0547983,0.9978527,0.012004207,0.08681152596733804,0.9909822940826416,0.02592778392136097,0.980032205581665,0.05533279851078987,0.9993558526039124,0.005151557270437479
9,0.08149941466206359,0.99302125,0.0236551,0.9866867,0.048450403,0.99796003,0.01821901,0.0891952790601866,0.9890499114990234,0.025606676936149597,0.979066014289856,0.057332441210746765,0.9980676174163818,0.005598071962594986
